id,anchor,target,context,score
4101be57444b681d,dna strand,polynucleotide chain,C12,0.5
f872bd196b9388a4,dna strand,polynucleotide coil,C12,0.5
28a7e6316fc73cb7,dna strand,strand dna,C12,0.75
ba6e73c6fa529791,dna strand,template dna,C12,0.5
89cacf366a672266,dna strand,wire strand,C12,0.0
7f5790656a47528f,dna strand,different dna molecule,G01,0.5
30673c63b6100e60,dna strand,different dna molecules,G01,0.5
d168931c68739088,dna strand,dna,G01,0.5
1e77e9813d1240d5,dna strand,dna molecule,G01,0.75
2693e65453b037b8,dna strand,fluid,G01,0.0
49bd33ccce6dad18,dna strand,metal,G01,0.0
8e899ff923ae9e41,dna strand,metal nanotube,G01,0.0
f19d723f905a6b3e,dna strand,molecule,G01,0.5
a3bb0c066ee705ea,dna strand,nucleotide,G01,0.5
f330c3b2320769fe,dna strand,protein,G01,0.5
6875d60f8f0e731a,dna strand,ss dna molecule,G01,0.5
d5d96a1cdea6592e,dna strand,ss dna molecules,G01,0.5
8be60d567bfe7356,dna strand,strand dna,G01,0.5
063d7407309711fa,dna strand,connection,G06,0.25
cb7fd81c302317c9,dna strand,data strand,G06,0.25
b8b18e6479159959,dna strand,dna,G06,0.75
fcf2027d3698f145,dna strand,dna strands,G06,1.0
0c282c73781b26b9,dna strand,lines,G06,0.25
01a0fc192835ef5f,dna strand,paths,G06,0.25
61c716a6e39146bb,dna strand,protein,G06,0.25
379e7256e8f6b9a0,dna strand,strand,G06,0.5
0944f187f8c92d15,dna strand,virus,G06,0.25
246f205660f2c926,donor plasmid,blood donor,A01,0.0
69e83c686e217ae0,donor plasmid,cell division,A01,0.25
10cf7735fec633d9,donor plasmid,dna,A01,0.25
1110b0cd17a4eb25,donor plasmid,dna donor,A01,0.75
40af82d1b6c4a7e7,donor plasmid,dnaa boxes,A01,0.25
6acb6db4110aaebc,donor plasmid,donor ecdna,A01,0.5
06fae319e87a0218,donor plasmid,donor extrachromosomal dna,A01,0.5
3ee5540b6f5464fa,donor plasmid,donor levels,A01,0.0
4c03c7770ed3bcb8,donor plasmid,donor microorganisms,A01,0.25
8ed03c5bd93c9f46,donor plasmid,donor organ,A01,0.0
c6a800a63a90065e,donor plasmid,ecoli culture,A01,0.25
ae124b0f7b2bead3,donor plasmid,expression vectors,A01,0.5
d38ba2e3f7edeb5b,donor plasmid,food donor,A01,0.0
3a31843f1efba1b7,donor plasmid,genome,A01,0.25
74517a83633f7ed5,donor plasmid,genome sequence,A01,0.25
3680226ce55a9134,donor plasmid,money donor,A01,0.0
